label,50,61,75,93,114,140,173,213,262,322,396,487,599,737,907,1116,1372,1688,2077
Weighted-mean FA in tract acoustic radiation (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract forceps minor,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract inferior longitudinal fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract posterior thalamic radiation (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract acoustic radiation (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract parahippocampal part of cingulum (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ICVF in tract parahippocampal part of cingulum (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract uncinate fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract forceps major,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract inferior fronto-occipital fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract inferior longitudinal fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract acoustic radiation (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract uncinate fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ICVF in tract parahippocampal part of cingulum (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract inferior fronto-occipital fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract posterior thalamic radiation (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract forceps major,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract forceps minor,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract corticospinal tract (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract inferior fronto-occipital fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract superior longitudinal fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract corticospinal tract (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract posterior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract superior longitudinal fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract cingulate gyrus part of cingulum (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ICVF in tract forceps major,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ICVF in tract corticospinal tract (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract cingulate gyrus part of cingulum (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ICVF in tract acoustic radiation (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract cingulate gyrus part of cingulum (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract anterior thalamic radiation (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract anterior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ICVF in tract corticospinal tract (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract acoustic radiation (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False
Weighted-mean ICVF in tract acoustic radiation (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract uncinate fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Weighted-mean FA in tract superior longitudinal fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Weighted-mean FA in tract uncinate fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract anterior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
Weighted-mean FA in tract superior longitudinal fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
Weighted-mean MO in tract cingulate gyrus part of cingulum (left),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean FA in tract inferior fronto-occipital fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
Weighted-mean FA in tract inferior longitudinal fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
Weighted-mean ICVF in tract posterior thalamic radiation (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
Weighted-mean ICVF in tract inferior longitudinal fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
Weighted-mean FA in tract posterior thalamic radiation (right),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean FA in tract inferior longitudinal fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
Weighted-mean OD in tract anterior thalamic radiation (right),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean ICVF in tract inferior longitudinal fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
